subject,relation,object,count
李纨,丫鬟,香菱,1
王夫人,丫鬟,贾母,1
袭人,丫鬟,晴雯,1
贾政,丫鬟,王夫人,1
贾母,丫鬟,李纨,1
贾母,丫鬟,王夫人,1
贾母围,丫鬟,鸳鸯,1
鸳鸯,丫鬟,平儿,1
鸳鸯,丫鬟,晴雯,1
妙玉,住处,栊翠庵,1
贾政,住处,大观园,1
贾母,住处,大观园,1
不过贾菌,母亲,娄氏带,1
了金钏儿,母亲,白老媳妇,1
住的贾芹,母亲,周氏,1
又在尤氏,母亲,前周旋,1
向尤氏,母亲,告了辞,1
唤了彩霞,母亲,来说媒,1
尤二姐,母亲,愿结贾珍,1
尤氏,母亲,已先在这,1
尤氏,母亲,并邢夫人,1
彩霞,母亲,满心纵不,1
想袭人,母亲,不知是死,1
李纨,母亲,贾母,1
王夫人,母亲,袭人,1
知女学生,母亲,贾氏夫人,1
薛宝钗,母亲,王夫人,1
袭人,母亲,业已停床,1
袭人,母亲,也早迎,1
袭人,母亲,又亲来回,1
袭人,母亲,薛宝钗,1
说些黛玉,母亲,如何得病,1
贾宝玉,母亲,王夫人,1
贾政,母亲,贾母扶,1
贾母,母亲,王夫人,1
贾母,母亲,贾母亲,1
贾珠,母亲,王夫人,1
贾琏,母亲,王熙凤,1
贾琏,母亲,贾母素,1
贾琼,母亲,也带了女,1
贾芸,母亲,便倒茶,1
赖大,母亲,因又问,1
赖大,母亲,忙站起,1
赖大,母亲,等三四个,1
里面金桂,母亲,忙了手脚,1
金桂,母亲,便依着宝,1
金桂,母亲,便说,1
金桂,母亲,听未说完,1
金桂,母亲,听见,1
金桂,母亲,心里也虚,1
金桂,母亲,恨的咬牙,1
金桂,母亲,接说,1
金桂,母亲,正在撒泼,1
金桂,母亲,此时势孤,1
金桂,母亲,着了急,1
金桂,母亲,瞧见便拾,1
金桂,母亲,知道必,1
金桂,母亲,见这个光,1
金桂,母亲,还未及答,1
金荣,母亲,偏提起昨,1
金荣,母亲,听了这话,1
随向张三,母亲,告知,1
二则别人,父亲,母皆年高,1
今周贵人,父亲,已在家里,1
大兄凤姐,父亲,王夫人,1
有吴贵妃,父亲,吴天,1
王夫人,父亲,认识,1
王夫人,父亲,贾政,1
说我,父亲,就完,1
贾宝玉,父亲,又指着宝,1
贾宝玉,父亲,贾政,1
贾珠,父亲,贾政,1
贾琏,父亲,平儿,1
